Nazione,CodNazione,Anno,"Adolescent fertility rate (births per 1,000 women ages 15-19)","Agriculture, forestry, and fishing, value added (% of GDP)","Annual freshwater withdrawals, total (% of internal resources)",Births attended by skilled health staff (% of total),"Contraceptive prevalence, any method (% of married women ages 15-49)",Domestic credit provided by financial sector (% of GDP),Electric power consumption (kWh per capita),Energy use (kg of oil equivalent per capita),Exports of goods and services (% of GDP),"External debt stocks, total (DOD, current US$)","Fertility rate, total (births per woman)","Foreign direct investment, net inflows (BoP, current US$)",Forest area (sq. km),GDP (current US$),GDP growth (annual %),"GNI per capita, Atlas method (current US$)","GNI per capita, PPP (current international $)","GNI, Atlas method (current US$)","GNI, PPP (current international $)",Gross capital formation (% of GDP),High-technology exports (% of manufactured exports),"Immunization, measles (% of children ages 12-23 months)",Imports of goods and services (% of GDP),Income share held by lowest 20%,"Industry (including construction), value added (% of GDP)","Inflation, GDP deflator (annual %)","Life expectancy at birth, total (years)",Merchandise trade (% of GDP),Military expenditure (% of GDP),Mobile cellular subscriptions (per 100 people),"Mortality rate, under-5 (per 1,000 live births)",Net barter terms of trade index (2015 = 100),Net migration,Net official development assistance and official aid received (current US$),"Personal remittances, received (current US$)",Population density (people per sq. km of land area),Population growth (annual %),"Population, total",Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),Poverty headcount ratio at national poverty lines (% of population),"Prevalence of HIV, total (% of population ages 15-49)","Prevalence of underweight, weight for age (% of children under 5)","Primary completion rate, total (% of relevant age group)","Revenue, excluding grants (% of GDP)","School enrollment, primary (% gross)","School enrollment, primary and secondary (gross), gender parity index (GPI)","School enrollment, secondary (% gross)",Surface area (sq. km),Tax revenue (% of GDP),Terrestrial and marine protected areas (% of total territorial area),Time required to start a business (days),"Total debt service (% of exports of goods, services and primary income)",Urban population growth (annual %)
India,IND,2014,28.806,16.792,44.779,81.4,,,794.293,628.482,22.968,457507409077,2.306,34576643694,705616,2039126479155,7.41,1540,5130,2020998390899,6732247711206,34.268,9.221,85.0,25.954,,27.656,3.332,69,38.526,2.544,72,46.3,90.016,-227263,2991820068,70388642797,441.37,1.261,1312277191,,,0.3,29.4,99.028,11.551,111.585,1.033,75.318,3287260,9.985,,35,18.63,2.445
India,IND,2015,18.194,16.175,44.779,,,,,,19.813,478831010025,2.287,44009492130,708280,2103588360045,7.996,1580,5360,2097598211573,7120994309944,32.117,8.025,87.0,22.11,8.4,27.347,2.28,70,31.474,2.457,76,43.6,100.0,-655085,3174350098,68909693353,446.667,1.193,1328024498,18.8,,0.3,36.3,99.904,12.415,112.938,1.03,74.948,3287260,10.57,,30,11.206,2.399
India,IND,2016,14.535,16.364,44.779,81.4,53.5,,,,19.158,455541896499,2.273,44458571546,710944,2294796885663,8.256,1670,5730,2246783906989,7706181204018,30.173,7.663,88.0,20.924,8.4,26.619,3.238,70,27.287,2.543,84,41.1,105.321,81248,2679040039,62744364090,452.021,1.192,1343944296,18.1,,0.2,,99.314,12.851,119.513,1.03,76.12,3287260,11.148,3.479,28,17.263,2.42
India,IND,2017,15.166,16.558,44.779,,,,,,18.792,511575707374,2.2,39966091359,713608,2651474262755,6.795,1790,6080,2439593980809,8264361849009,30.982,7.362,90.0,21.951,8.2,26.5,3.969,70,28.255,2.532,86,38.7,98.522,-251642,3198139893,68967175500,457.306,1.162,1359657400,13.4,,0.2,33.4,98.589,12.727,117.868,1.084,74.597,3287260,11.387,3.479,30,10.085,2.414
India,IND,2018,15.133,16.032,44.779,,,,,,19.928,521175685410,2.177,42117450737,716272,2702929641649,6.454,1970,6640,2713329693634,9131972106246,32.343,9.041,93.0,23.689,8.2,26.412,3.884,71,31.049,2.424,86,36.4,93.312,-589794,2461989990,78790170929,462.352,1.097,1374659064,11.1,,0.2,,,13.189,101.098,1.015,75.785,3287260,12.017,3.479,16,11.398,2.369
India,IND,2019,14.796,16.756,44.779,,,,,,18.664,561017395481,2.109,50610647354,718936,2835606256558,3.871,2070,7080,2878536458776,9837436260445,30.096,10.224,95.0,21.241,7.7,24.591,2.406,71,28.579,2.549,83,34.3,95.408,-978969,2550320068,83332078002,467.185,1.04,1389030312,13.2,,0.2,,96.309,,99.504,1.02,75.526,3287260,,3.479,18,9.002,2.331
India,IND,2020,14.423,18.669,44.779,,66.7,,,,18.682,564979321177,2.051,64362364994,721600,2674851578587,-5.778,1900,6870,2661734078595,9639773300095,28.922,11.033,89.0,19.076,7.7,25.123,4.815,70,24.286,2.813,83,32.4,101.392,-73806,1794530029,83149172934,471.755,0.973,1402617695,15.5,,0.2,31.5,98.104,,101.291,1.007,77.627,3287260,,3.479,,15.054,2.282
India,IND,2021,14.289,17.373,44.779,89.4,66.7,,,,21.399,611987174448,2.031,44727277563,724264,3167270623260,9.69,2170,7960,3064476293211,11250341278207,32.116,10.213,89.0,24.024,8.0,26.467,8.355,67,30.579,2.471,82,30.6,90.741,-348916,3135310059,89375152218,475.652,0.823,1414203896,12.9,,0.2,,99.085,,102.316,0.992,80.625,3287260,,4.396,,7.811,2.151
India,IND,2022,14.185,16.639,,,,,,,23.2,615516027421,2.011,49940258404,726928,3353470496886,6.987,2380,9030,3394542221635,12868863585641,33.024,12.682,95.0,26.765,,25.284,6.748,68,35.004,2.425,81,29.1,,-1353478,2831239990,111221774722,479.426,0.79,1425423212,,,0.2,,,9.09,111.084,,81.178,3287260,6.72,4.396,,8.267,2.134
Indonesia,IDN,2014,40.126,13.337,10.351,,61.6,43.424,800.151,871.12,23.666,292565412570,2.389,25120732060,959542,890814755511,5.007,3570,9730,922995729808,2518156676016,34.6,9.329,86.0,24.414,7.4,41.928,5.443,70,39.792,0.778,127,28.6,102.502,-27988,-381940002,8551164469,137.883,1.175,258877399,9.7,11.3,0.4,,109.714,14.617,110.911,0.982,84.688,1910931,10.836,,54,29.917,2.476
Indonesia,IDN,2015,37.861,13.493,10.69,,60.0,46.774,910.0,,21.16,307849578358,2.345,19779127977,950279,860854232718,4.876,3390,9690,886547498572,2538121217610,34.063,8.89,87.0,20.777,7.4,40.048,3.98,70,34.043,0.882,131,27.5,100.0,-28487,-28459999,9659168639,139.439,1.122,261799249,8.5,11.2,0.4,,109.529,12.967,109.362,0.986,88.782,1913580,10.753,,49,34.607,2.402
Indonesia,IDN,2016,35.356,13.479,11.029,92.6,59.4,47.956,956.0,,19.089,319052612588,2.309,4541713739,952718,931877364034,5.033,3370,9930,890493673496,2628825069016,33.859,7.999,88.0,18.332,7.4,39.308,2.439,70,30.062,0.792,147,26.4,101.542,-28991,-108279999,8906655811,140.945,1.074,264627418,6.7,10.9,0.4,,107.965,12.474,107.162,0.996,88.564,1913580,10.336,5.063,26,37.48,2.334
Indonesia,IDN,2017,32.792,13.157,11.029,90.9,63.6,46.964,1021.0,,20.177,353688908559,2.262,20510310832,939498,1015618744168,5.07,3490,10350,934207963800,2766768816137,33.711,8.446,90.0,19.178,7.4,39.379,4.293,70,32.073,0.865,165,25.4,101.208,-29467,280190002,8989529971,142.394,1.022,267346658,4.3,10.6,0.4,,106.196,12.177,105.634,0.994,91.582,1916820,9.877,5.268,24,29.436,2.256
Indonesia,IDN,2018,30.648,12.808,11.029,93.6,,47.232,1064.0,,21.003,379851596756,2.234,18909826044,933443,1042271532953,5.174,3810,11030,1028158608321,2978437369939,34.571,8.213,89.0,22.072,7.4,39.73,3.818,70,35.387,0.719,120,24.5,100.561,-29911,962690002,11215344812,143.781,0.97,269951846,4.4,9.8,0.4,17.7,104.974,12.993,104.648,0.993,93.431,1916862,10.23,5.268,21,25.136,2.181
Indonesia,IDN,2019,28.876,12.713,11.029,94.7,,47.129,1084.0,,18.592,402379692153,2.215,24993551748,927387,1119099871386,5.019,4020,11620,1096634205244,3166892074843,33.78,8.092,88.0,19.036,7.6,38.952,1.598,71,30.289,0.729,127,23.6,100.999,-30421,-693369995,11666395059,145.133,0.936,272489381,3.4,9.4,0.4,,104.611,12.349,102.597,,95.784,1916907,9.752,5.268,13,39.486,2.121
Indonesia,IDN,2020,27.176,13.698,11.029,,,53.694,,,17.331,417061427291,2.194,19175077748,921332,1059054842712,-2.066,3850,11410,1059188261568,3134895515995,32.343,8.425,76.0,15.641,7.6,38.238,-0.402,69,28.792,0.887,131,22.8,98.481,-18743,1210020020,9650926142,146.371,0.85,274814866,2.8,9.8,0.4,,103.143,10.537,102.438,,98.044,1916907,8.31,5.268,,36.819,2.015
Indonesia,IDN,2021,26.824,13.28,11.029,,,54.315,,,21.417,417868182908,2.175,21213080330,915277,1186509691071,3.703,4130,12410,1142865991939,3434771286487,31.449,7.204,72.0,18.788,7.6,39.845,6.004,68,36.047,0.742,134,22.0,100.771,-11248,625900024,9402427089,146.235,0.705,276758053,2.9,10.1,0.4,,103.382,11.815,101.991,,99.097,1916907,9.094,5.268,,26.219,1.844
Indonesia,IDN,2022,26.581,12.4,,,,51.13,,,24.504,396032177096,2.153,24702029705,909221,1319076267292,5.307,4520,13890,1260912101882,3873642750647,29.746,8.304,92.0,20.962,7.8,41.43,9.567,68,40.136,0.703,115,21.3,,-37501,662700012,13089296495,147.33,0.746,278830529,2.2,9.5,0.3,,102.986,15.143,100.645,,98.972,1916907,11.605,5.268,,23.326,1.864
Italy,ITA,2014,5.593,1.908,18.615,99.9,,,5002.407,2414.484,28.622,,1.37,17032744039,92433,2173255507986,-0.001,34920,36200,2122613224767,2200447242187,17.077,7.737,87.0,25.832,6.2,20.187,0.903,83,46.207,1.283,149,3.6,97.217,52679,,10099257246,205.565,0.918,60789140,1.2,19.9,0.3,,99.319,39.695,100.752,0.995,101.122,302069,24.713,,12,,1.341
Italy,ITA,2015,5.137,1.992,18.608,99.9,,,,2481.755,29.144,,1.35,13303439230,92971,1845428048839,0.886,33030,36640,2005968707657,2225428932684,17.281,8.152,85.0,26.292,5.9,20.29,0.783,83,47.03,1.208,146,3.5,100.0,39389,,9607744315,205.367,-0.096,60730582,1.9,20.6,0.3,,98.95,39.583,100.372,0.997,101.228,302069,24.622,,11,,0.326
Italy,ITA,2016,4.766,1.849,18.558,99.9,,,,,28.799,,1.34,25656663795,93509,1887111188177,1.236,31960,40040,1937701694923,2427621534122,17.712,8.291,87.0,25.633,6.1,20.663,1.248,83,46.024,1.335,143,3.4,102.662,84568,,9512833704,205.018,-0.17,60627498,1.6,20.3,0.3,,98.491,39.739,99.813,1.003,100.743,302069,24.937,13.346,11,,0.246
Italy,ITA,2017,4.376,1.893,18.508,99.9,,,,,30.14,,1.32,8737024579,94047,1970720904585,1.604,31370,41810,1898930009999,2531219823306,18.169,7.805,92.0,27.443,6.0,20.793,0.71,83,48.741,1.357,140,3.3,99.741,95147,,9742186172,204.711,-0.15,60536709,1.4,20.3,0.3,,99.571,39.285,102.803,0.984,101.01,302069,24.572,13.365,11,,0.263
Italy,ITA,2018,4.064,1.858,18.458,99.9,,,,,30.814,,1.29,44249715319,94585,2099435266459,0.827,33850,43510,2045325630105,2629049101684,18.661,7.477,93.0,28.461,6.1,20.987,1.071,83,50.145,1.359,139,3.2,98.553,83686,,9899652023,204.322,-0.19,60421760,1.5,20.1,0.2,,98.834,39.222,102.895,0.979,101.526,302069,24.152,13.365,11,,0.228
Italy,ITA,2019,3.68,1.819,18.545,99.8,,,,,30.95,,1.27,35760550299,95123,2019606796584,0.429,34890,46840,2083854555659,2797692098539,18.364,7.758,94.0,27.744,6.3,21.012,1.047,83,50.145,1.312,133,3.0,100.942,46634,,10458515879,201.981,-1.153,59729081,1.0,20.0,0.2,,98.369,39.922,102.959,0.983,101.742,302068,24.476,13.335,11,,-0.731
Italy,ITA,2020,3.295,1.928,18.436,99.8,,,,,28.726,,1.24,-17050399621,95661,1907481094079,-8.868,32430,44770,1927357041228,2660829806482,17.899,8.587,92.0,25.214,6.3,20.964,1.577,82,48.58,1.74,130,2.9,104.715,85281,,9888526922,200.999,-0.487,59438851,0.8,20.1,0.2,,98.721,40.367,102.637,0.99,101.836,302068,24.63,13.953,,,-0.06
Italy,ITA,2021,3.016,1.833,18.436,,,,,,31.172,,1.25,24902365871,96199,2179207773596,8.931,36410,50540,2153310981870,2988507504507,22.001,7.77,94.0,29.13,6.5,22.557,1.283,83,54.288,1.72,132,2.8,99.137,157327,,10508060201,199.965,-0.516,59133173,0.8,20.1,0.2,,97.715,40.145,101.09,,101.835,302068,24.769,13.952,,,-0.084
Italy,ITA,2022,2.988,1.891,,,,,,,35.117,,1.24,62728326244,96738,2102995942720,4.662,38330,56340,2262186220524,3324774786874,24.756,9.159,94.0,36.936,,23.222,3.56,83,64.33,1.679,133,2.6,,231228,,10529552165,199.559,-0.202,59013667,,,0.2,,97.153,39.588,101.565,,101.354,302070,24.497,14.544,,,0.233
Japan,JPN,2014,4.325,0.997,18.636,99.8,54.7,344.927,7819.715,3470.763,17.419,,1.42,19752249424,249484,4896994405353,0.296,44440,41030,5656060796743,5221591072071,25.036,17.781,98.0,20.013,,27.314,1.686,84,30.68,0.958,124,2.8,87.61,58109,,3733912542,349.18,-0.133,127276000,,,,,,,102.415,1.005,101.814,377962,,,11,,-0.047
Japan,JPN,2015,4.04,1.034,18.585,99.9,39.8,341.142,,3428.557,17.437,,1.45,5252218412,249440,4444930651964,1.561,39380,42510,5006471935030,5404452911056,25.165,18.045,96.0,17.991,,28.584,2.111,84,28.64,0.947,126,2.8,100.0,168896,,3325097903,348.809,-0.106,127141000,,,,,,,102.419,1.005,102.2,377971,,,11,,-0.022
Japan,JPN,2016,3.75,1.125,18.535,99.8,,346.833,,,16.058,,1.44,40954181469,249400,5003677627544,0.754,38460,42010,4887581873401,5338418864031,24.836,17.62,96.0,15.252,,28.63,0.42,84,25.037,0.93,131,2.7,108.542,314732,,3830448522,348.631,-0.051,127076000,,,,,,,102.217,1.005,101.168,377970,,2.092,11,,0.032
Japan,JPN,2017,3.404,1.128,18.442,99.9,,352.149,,,17.591,,1.43,18802251208,249350,4930837369151,1.675,38930,42980,4943005267666,5456929841830,25.215,17.594,97.0,16.832,,28.882,-0.074,84,27.793,0.913,136,2.6,102.991,322564,,4443028775,348.346,-0.082,126972000,,,,,,,102.255,1.005,101.883,377970,,10.026,11,,0.003
Japan,JPN,2018,3.076,1.044,18.395,99.9,,350.615,,,18.315,,1.42,25289367858,249350,5040880939325,0.643,41800,43750,5300391313001,5548453034658,25.642,17.297,97.0,18.295,,29.014,-0.0,84,29.491,0.962,142,2.5,97.091,320601,,4369453719,347.904,-0.127,126811000,,,,,,,102.1,1.003,102.425,377974,,10.026,11,,-0.038
Japan,JPN,2019,2.772,1.039,18.233,99.9,,363.318,,,17.464,,1.36,39960544340,249350,5117993853017,-0.402,41970,44350,5315223353077,5616185461359,25.79,17.03,96.0,17.753,,28.804,0.635,84,27.873,0.992,148,2.5,98.661,318190,,4388723266,347.416,-0.14,126633000,,,,,,,102.652,1.003,102.67,377974,,10.026,11,,-0.051
Japan,JPN,2020,2.503,1.066,18.233,99.9,,393.451,,,15.529,,1.33,62584719398,249350,5055587093502,-4.147,40940,43990,5169145753460,5554842403045,25.246,18.633,98.0,15.797,,29.073,0.941,85,25.255,1.018,156,2.4,106.492,42001,,4887784631,346.395,-0.294,126261000,,,,,,,102.737,,102.845,377974,,10.026,,,-0.203
Japan,JPN,2021,2.088,1.013,18.233,99.8,,391.252,,,18.125,,1.3,35027163876,249350,5034620784585,2.559,43670,46680,5487896268105,5866680598433,25.719,18.004,95.0,18.646,,29.263,-0.19,84,30.29,1.018,161,2.3,94.923,-34996,,5293894065,344.805,-0.46,125681593,,,,,,,102.218,,102.155,377974,,15.235,,,-0.367
Japan,JPN,2022,1.821,1.018,,,,385.902,,,21.542,,1.26,48004621741,249350,4256410760724,0.955,42550,49980,5324574664050,6254020558483,26.588,18.259,98.0,25.302,,26.916,0.334,84,38.624,1.078,168,2.3,,175003,,5407997507,343.278,-0.444,125124989,,,,,,,102.159,,102.338,377969,,15.235,,,-0.348
"Korea, Rep.",KOR,2014,1.797,2.057,45.022,,,,10496.514,5289.276,47.831,,1.205,9273600000,63470,1484488526272,3.202,28160,35500,1428957268959,1801276221059,29.79,30.061,99.0,42.783,7.6,34.092,0.907,82,74.009,2.53,113,3.6,89.317,308037,,6573500000,520.852,0.628,50746659,0.2,,,0.9,98.227,24.988,99.457,0.997,98.581,100280,13.241,,8,,0.54
"Korea, Rep.",KOR,2015,1.638,2.004,45.022,100.0,79.6,,,5413.348,42.99,,1.239,4104100000,63370,1466038936206,2.809,28720,38020,1465140433530,1939637111593,29.529,31.212,98.0,36.143,,34.15,3.186,82,65.705,2.495,116,3.5,100.0,276427,,6463900000,523.526,0.527,51014947,,,,,100.522,24.814,100.062,0.996,98.593,100295,13.158,,8,,0.438
"Korea, Rep.",KOR,2016,1.478,1.859,45.022,,,,,,40.133,,1.172,12104300000,63250,1499679823910,2.947,29330,39720,1502019360877,2034377961086,30.143,30.525,98.0,33.471,6.7,34.298,1.986,82,60.121,2.46,119,3.4,100.997,91568,,6523600000,525.37,0.397,51217803,0.2,,,,103.802,25.757,99.716,0.995,98.718,100339,13.982,3.885,8,,0.309
"Korea, Rep.",KOR,2017,1.126,1.851,45.022,,,,,,40.934,,1.052,17912900000,63170,1623074183502,3.16,30290,41120,1555716400576,2112226195330,32.288,32.546,97.0,36.187,6.7,34.766,2.223,83,64.826,2.421,124,3.3,100.638,104029,,6526400000,526.735,0.281,51361911,0.2,,,0.9,97.857,26.185,98.625,0.995,99.106,100360,14.494,3.99,8,,0.209
"Korea, Rep.",KOR,2018,1.179,1.746,45.022,,82.3,,,,41.713,,0.977,12182600000,63070,1725373496825,2.907,32740,43220,1688927029003,2229385035794,31.487,36.391,98.0,37.276,7.1,34.046,0.483,83,66.076,2.497,128,3.2,95.437,118220,,7125100000,528.969,0.434,51585058,0.2,,,,96.763,27.449,98.666,0.996,99.319,100380,15.536,3.99,8,,0.38
"Korea, Rep.",KOR,2019,0.925,1.668,45.022,,,,,,39.276,,0.918,9634300000,62970,1651422932448,2.244,33830,44240,1750991514985,2290263550424,31.495,32.405,98.0,36.481,7.4,32.679,-0.839,83,63.314,2.671,133,3.1,91.495,128622,,7166100000,530.377,0.348,51764822,0.0,,,,99.906,27.88,99.639,0.996,98.381,100400,15.2,5.546,8,,0.312
"Korea, Rep.",KOR,2020,0.799,1.766,45.022,,,,,,36.36,,0.837,8764900000,62870,1644312831906,-0.709,33040,45540,1712697394006,2360460945631,31.885,35.602,98.0,32.674,7.6,32.538,1.564,83,59.607,2.803,136,3.0,94.952,112631,,7434800000,531.109,0.138,51836239,0.0,,,0.3,101.202,27.903,99.218,0.996,97.089,100410,14.861,5.809,,,0.118
"Korea, Rep.",KOR,2021,0.539,1.856,45.022,,,,,,41.877,,0.808,22060400000,62770,1818432106880,4.305,35180,49120,1821292793345,2542822630694,32.327,36.015,98.0,38.322,7.5,32.432,2.763,84,69.263,2.809,141,2.9,92.302,-16778,,7742300000,530.426,-0.129,51769539,0.0,,,,98.476,29.934,98.676,,98.095,100430,16.735,5.862,,,-0.129
"Korea, Rep.",KOR,2022,0.651,1.642,,,,,,,48.272,,0.778,25044700000,62670,1673916511800,2.613,36160,52380,1868326792927,2706618834367,33.181,36.118,97.0,48.265,,31.726,1.276,83,84.53,2.718,149,2.8,,87800,,7814500000,529.432,-0.187,51672569,,,,,96.055,32.004,99.033,,97.916,100440,18.445,5.862,,,-0.172
Mexico,MEX,2014,74.356,3.027,20.765,95.6,72.3,47.256,2167.605,1569.317,31.463,544166999709,2.211,28438274451,664534,1364507717614,2.504,10950,18370,1311930001624,2200816239706,22.293,20.222,97.0,32.635,4.7,31.918,4.368,75,59.252,0.514,88,16.8,115.657,-228816,814890015,25556643773,61.619,1.21,119784261,4.0,,0.4,,111.54,17.689,108.573,1.023,97.32,1964375,10.243,,8,10.697,1.583
Mexico,MEX,2015,69.335,3.085,20.944,97.7,66.9,50.686,,1547.241,34.163,538015200056,2.137,36249945684,663309,1213294467717,2.702,10580,18590,1280511652391,2251299552152,23.736,19.573,97.0,36.25,,30.84,3.225,75,64.768,0.467,90,16.2,100.0,-291044,321070007,26824907167,62.282,1.07,121072306,,,0.4,3.9,105.993,18.368,106.963,1.03,100.982,1964375,12.346,,8,12.539,1.439
Mexico,MEX,2016,66.136,3.246,21.168,98.0,,53.05,,,36.816,544792453300,2.086,38899502234,662032,1112233497453,1.772,9740,19580,1190381172087,2393565436264,24.343,20.654,96.0,38.875,5.0,30.617,6.078,74,69.362,0.495,92,15.7,93.929,-304472,809340027,29328819630,62.888,0.969,122251351,2.3,43.6,0.4,4.2,104.702,19.192,106.391,1.036,102.871,1964375,13.124,6.752,8,18.853,1.337
Mexico,MEX,2017,64.486,3.298,21.477,96.6,,53.334,,,37.514,578638429805,2.041,33114459875,660754,1190721475906,1.872,9270,19970,1143310436798,2464263194964,23.892,21.168,76.0,39.438,,31.959,6.568,74,70.681,0.437,93,15.2,98.116,-227499,754609985,32922876924,63.479,0.935,123400057,,,0.4,,104.325,19.447,105.798,1.039,105.11,1964375,12.687,19.056,8,14.282,1.299
Mexico,MEX,2018,63.447,3.297,21.721,,73.1,52.943,,,39.044,602000702060,1.996,37857187751,659476,1256300182880,1.972,9560,20380,1191161317295,2538887671170,23.477,20.892,97.0,41.169,5.2,32.044,5.204,74,73.832,0.477,97,14.7,100.458,-175356,549210022,36526305945,64.083,0.947,124573711,1.9,41.9,0.4,,102.369,18.334,105.188,1.046,105.965,1964375,12.712,19.056,8,11.622,1.308
Mexico,MEX,2019,63.359,3.315,21.846,,,56.724,,,38.53,617449991504,1.916,29946327705,658198,1304106203695,-0.393,9860,20370,1240366188380,2562369414126,22.149,20.407,73.0,38.932,,31.838,4.319,74,71.139,0.523,98,14.2,101.397,-169628,525039978,39833517538,64.695,0.95,125762982,,,0.4,4.7,102.473,18.519,105.095,1.052,105.516,1964375,12.788,18.91,8,13.302,1.309
Mexico,MEX,2020,62.577,3.711,21.894,,,61.603,,,39.235,616686384395,1.905,31524173543,656921,1121064767262,-8.354,8920,18730,1130586047340,2375240560691,20.237,21.507,92.0,37.619,5.3,31.0,4.62,70,72.293,0.738,98,13.7,96.842,-147456,793989990,43977653965,65.228,0.82,126799054,2.1,43.9,0.4,4.6,102.598,18.645,104.518,1.054,102.582,1964375,13.898,18.91,,15.736,1.177
Mexico,MEX,2021,62.033,3.783,21.991,,,60.516,,,40.569,601474054898,1.822,35405811449,655643,1316569466933,6.048,9880,20490,1261065448422,2615286722594,21.707,19.811,99.0,42.5,,31.97,4.488,70,77.277,0.682,100,13.3,96.788,-122791,563659973,55067029560,65.664,0.667,127648148,,,0.4,4.2,102.82,18.343,103.359,,98.32,1964375,13.411,18.91,,14.474,1.02
Mexico,MEX,2022,61.111,3.905,,,,58.937,,,42.732,585464239733,1.803,39110305098,654365,1464312692332,3.689,10720,23120,1379016318504,2973629333544,22.811,20.534,86.0,45.655,5.6,33.073,6.497,75,82.224,0.607,100,12.8,,-108438,495480011,61457717975,66.161,0.753,128613117,1.2,36.3,0.4,4.2,102.239,19.306,102.005,,98.358,1964375,13.428,18.951,,8.674,1.103
Netherlands,NLD,2014,3.673,1.801,86.273,,,,6712.775,4325.524,81.382,,1.71,143075412409,3666,901556501756,1.613,51600,48740,870181440963,821940707074,17.707,24.556,96.0,70.334,8.8,17.682,0.344,82,139.978,1.16,115,4.1,98.883,36591,,3723144479,500.594,0.36,16865008,0.1,,0.2,,,38.662,,,,41540,20.422,,4,,0.922
Netherlands,NLD,2015,3.18,1.806,76.464,,,,,4233.044,83.992,,1.66,376243899819,3648,775743675303,2.121,49250,49780,834315730478,843205617930,22.17,24.074,95.0,76.334,8.9,17.415,0.888,82,139.55,1.133,122,4.1,100.0,55585,,3276248684,503.116,0.443,16939923,0.1,12.7,0.2,,,37.623,106.059,1.008,114.138,41540,20.883,,4,,0.98
Netherlands,NLD,2016,2.961,1.864,72.94,,,,,,80.91,,1.66,275561931218,3658,797163949290,2.424,46430,51020,790734582844,868877663908,19.776,24.009,94.0,70.056,8.8,16.964,0.566,82,134.402,1.164,122,4.1,100.839,88743,,3206127086,505.801,0.532,17030314,0.0,13.2,0.2,,,38.418,105.68,1.009,112.994,41540,21.545,17.892,4,,1.043
Netherlands,NLD,2017,2.772,1.968,71.965,,,,,,85.18,,1.62,199506158819,3667,848233537846,2.782,46200,54460,791405165007,932892667647,20.215,22.922,93.0,74.467,8.8,17.121,1.439,82,144.619,1.157,119,4.0,99.918,86332,,3417061015,508.8,0.591,17131296,0.2,13.3,0.2,,,38.563,105.039,1.008,115.225,41540,22.695,21.21,4,,1.078
Netherlands,NLD,2018,2.603,1.76,73.547,,,,,,87.056,,1.59,-286149009225,3676,929733599797,2.259,50480,57610,869841540328,992691313903,20.48,22.513,93.0,76.503,8.9,17.324,2.533,82,147.591,1.217,122,4.0,99.749,87197,,3724082172,511.78,0.584,17231624,0.1,13.2,0.2,,,38.639,104.561,1.006,114.5,41540,22.667,21.21,4,,1.036
Netherlands,NLD,2019,2.505,1.759,76.395,,,,,,85.321,,1.57,-127018529908,3686,928903005576,2.3,51920,59850,900518125714,1038037139219,21.758,23.048,94.0,75.356,8.6,17.113,3.028,82,144.716,1.318,125,4.0,99.651,109003,,3673480765,515.143,0.655,17344874,0.1,13.4,0.2,,,38.751,104.579,1.006,114.804,41540,23.561,25.309,4,,1.076
Netherlands,NLD,2020,2.355,1.737,75.509,,,,,,81.242,,1.54,-221105619977,3695,932560861701,-3.868,50030,59070,872639736874,1030310445717,21.352,23.164,94.0,70.992,9.2,17.379,2.356,81,136.155,1.441,123,4.0,99.093,67598,,3622290492,518.013,0.556,17441500,0.0,14.4,0.2,,,38.705,104.339,1.008,136.284,41540,23.778,25.311,,,0.947
Netherlands,NLD,2021,2.227,1.655,72.238,,,,,,86.45,,1.62,-115499072848,3704,1054472123450,6.277,58150,68780,1019620715223,1205841734661,22.194,22.002,93.0,76.705,9.4,17.706,2.747,81,151.489,1.377,125,4.0,96.936,106416,,3956821809,520.732,0.523,17533044,0.1,14.5,0.2,,,38.48,104.378,,135.962,41540,23.931,25.308,,,0.887
