Nazione,CodNazione,Anno,"Adolescent fertility rate (births per 1,000 women ages 15-19)","Agriculture, forestry, and fishing, value added (% of GDP)","Annual freshwater withdrawals, total (% of internal resources)",Births attended by skilled health staff (% of total),"Contraceptive prevalence, any method (% of married women ages 15-49)",Domestic credit provided by financial sector (% of GDP),Electric power consumption (kWh per capita),Energy use (kg of oil equivalent per capita),Exports of goods and services (% of GDP),"External debt stocks, total (DOD, current US$)","Fertility rate, total (births per woman)","Foreign direct investment, net inflows (BoP, current US$)",Forest area (sq. km),GDP (current US$),GDP growth (annual %),"GNI per capita, Atlas method (current US$)","GNI per capita, PPP (current international $)","GNI, Atlas method (current US$)","GNI, PPP (current international $)",Gross capital formation (% of GDP),High-technology exports (% of manufactured exports),"Immunization, measles (% of children ages 12-23 months)",Imports of goods and services (% of GDP),Income share held by lowest 20%,"Industry (including construction), value added (% of GDP)","Inflation, GDP deflator (annual %)","Life expectancy at birth, total (years)",Merchandise trade (% of GDP),Military expenditure (% of GDP),Mobile cellular subscriptions (per 100 people),"Mortality rate, under-5 (per 1,000 live births)",Net barter terms of trade index (2015 = 100),Net migration,Net official development assistance and official aid received (current US$),"Personal remittances, received (current US$)",Population density (people per sq. km of land area),Population growth (annual %),"Population, total",Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),Poverty headcount ratio at national poverty lines (% of population),"Prevalence of HIV, total (% of population ages 15-49)","Prevalence of underweight, weight for age (% of children under 5)","Primary completion rate, total (% of relevant age group)","Revenue, excluding grants (% of GDP)","School enrollment, primary (% gross)","School enrollment, primary and secondary (gross), gender parity index (GPI)","School enrollment, secondary (% gross)",Surface area (sq. km),Tax revenue (% of GDP),Terrestrial and marine protected areas (% of total territorial area),Time required to start a business (days),"Total debt service (% of exports of goods, services and primary income)",Urban population growth (annual %)
Netherlands,NLD,2022,2.071,1.642,,,,,,,96.444,,1.487,15562510630,3714,1046540797549,5.007,60030,73850,1062676521376,1307176218118,22.863,21.958,89.0,87.664,,18.656,6.156,82,177.943,1.583,118,3.9,,224472,,3729112483,525.72,0.953,17700982,,,,,,37.936,104.215,,138.768,41540,23.256,25.307,,,1.292
Russian Federation,RUS,2014,27.168,3.361,1.642,99.7,,,6583.543,4928.566,27.111,,1.75,22031340000,8149715,2059241589895,0.736,14590,24840,2137991200530,3639325111274,22.391,12.125,98.0,20.69,6.2,27.932,7.49,71,39.077,4.113,153,8.9,131.473,264698,,7776540000,8.807,0.3,144237223,0.3,11.3,,,95.01,27.152,97.496,0.989,95.606,17098250,13.255,,12,,0.417
Russian Federation,RUS,2015,24.73,3.873,1.448,99.7,,,,,28.703,,1.777,6852970000,8149305,1363482182198,-1.973,11740,23330,1725234111834,3428609968105,22.149,15.992,98.0,20.656,6.2,29.794,7.25,71,39.197,4.872,157,8.3,100.0,384756,,6903390000,8.832,0.279,144640716,0.3,13.4,,,97.341,24.472,98.383,0.989,96.329,17098250,10.642,,11,,0.414
Russian Federation,RUS,2016,21.857,3.84,1.503,99.7,,,,,25.854,,1.762,32538900000,8151210,1276786350881,0.194,9680,23340,1426946310646,3440587138812,23.095,15.79,98.0,20.664,6.2,29.174,2.844,72,37.062,5.425,158,7.5,81.52,447645,,6688670000,8.855,0.259,145015460,0.3,13.2,,,94.935,24.268,98.334,0.992,95.914,17098250,9.183,7.611,10,,0.413
Russian Federation,RUS,2017,18.242,3.554,1.494,99.7,,76.174,,,26.091,,1.621,28557440000,8153116,1574199360089,1.826,9160,25090,1352318548309,3705398029015,23.607,12.325,98.0,20.786,6.5,30.673,5.35,72,37.564,4.249,156,6.9,92.23,396619,,8235000000,8.872,0.191,145293260,0.3,12.9,,,,24.485,100.768,0.983,97.521,17098250,10.288,7.616,10,,0.364
Russian Federation,RUS,2018,16.031,3.394,1.503,99.7,,71.315,,,30.793,,1.579,8784850000,8153116,1657328773461,2.807,10180,27930,1505175092177,4128705266500,21.918,11.355,98.0,20.788,6.7,32.554,9.998,73,41.8,3.72,157,6.3,108.086,339972,,9287270000,8.878,0.072,145398106,0.1,12.6,,,99.599,27.516,102.069,0.978,99.214,17098250,11.469,7.616,10,,0.262
Russian Federation,RUS,2019,14.271,3.53,1.503,99.7,,70.852,,,28.433,,1.504,31974770000,8153116,1693115002708,2.198,11190,29990,1655618273843,4434790959251,22.662,12.905,98.0,20.795,6.7,32.15,3.263,73,39.784,3.86,164,5.8,109.32,336494,,10432480000,8.882,0.038,145453291,0.2,12.3,,,100.024,27.48,101.832,0.98,100.472,17098250,10.938,7.616,10,,0.245
Russian Federation,RUS,2020,13.801,4.006,1.503,99.6,,86.159,,,25.522,,1.505,9478810000,8153116,1493075894362,-2.654,10660,30750,1575000056326,4542377364597,23.456,9.194,97.0,20.445,7.4,29.717,0.898,71,38.419,4.171,164,5.4,89.152,334094,,9914970000,8.869,-0.143,145245148,0.1,12.1,,,,27.677,102.763,,92.752,17098250,10.799,7.616,,,0.08
Russian Federation,RUS,2021,13.565,3.938,1.503,,,,,,29.771,,1.505,40450000000,8153116,1843392293734,5.614,11720,38030,1725858305661,5598675743005,22.709,9.73,97.0,20.425,6.9,31.402,19.412,70,43.138,3.72,169,5.1,115.245,314112,,9646920000,8.838,-0.344,144746762,0.2,11.0,,,,26.371,101.909,,93.342,17098250,11.606,8.574,,,-0.103
Russian Federation,RUS,2022,13.163,3.821,,,,,,,28.026,,1.416,-39800944227,8153116,2266029240645,-2.07,12810,40140,1879408356849,5889237397480,22.793,,97.0,15.233,,32.096,16.715,73,38.331,4.056,,4.8,,765629,,3245171006,8.807,-0.353,144236933,,,,,,27.308,101.136,,93.935,17098250,10.97,8.574,,,-0.097
Saudi Arabia,SAU,2014,15.908,2.289,894.708,,,,10267.378,7541.883,46.248,,2.686,1509063087,9770,766605866667,3.811,28440,62780,805023371180,1777121948093,29.018,0.591,98.0,33.313,,56.575,-2.043,77,67.345,10.678,164,9.6,150.047,469144,,273304000,13.169,2.45,28309273,,,0.1,,,36.182,102.034,,99.408,2149690,2.734,,25,,2.716
Saudi Arabia,SAU,2015,15.177,2.773,948.875,98.0,,,,,32.564,,2.637,3970644085,9770,669484266667,4.509,25840,53730,770490084598,1602070121744,34.224,0.787,98.0,36.94,,44.639,-16.437,77,56.495,13.326,161,9.1,100.0,465292,,295434400,13.87,5.187,29816382,,,0.1,5.8,,24.405,102.692,1.004,103.276,2149690,3.259,,23,,5.452
Saudi Arabia,SAU,2016,14.963,2.947,929.583,98.0,24.6,,,,30.159,,2.59,21954833890,9770,666000000000,1.884,23220,49360,718618864925,1527985835845,30.898,1.305,98.0,29.746,,42.424,-2.36,77,48.611,9.873,143,8.6,89.007,-26997,,317361867,14.399,3.745,30954198,,,0.1,4.7,,20.799,103.448,0.956,105.05,2149690,3.283,4.041,19,,4.01
Saudi Arabia,SAU,2017,14.657,2.867,955.958,99.7,,,,,33.566,,2.584,1014062501,9770,714994666667,0.911,22320,52090,691439667016,1613588906096,28.796,0.735,96.0,28.249,,44.946,6.387,77,49.84,10.224,118,8.1,111.927,-920812,,290788000,14.41,0.075,30977355,,,0.1,6.2,100.33,25.791,106.085,0.958,105.574,2149690,3.26,4.528,18,,0.339
Saudi Arabia,SAU,2018,14.249,2.482,974.167,99.4,,,,,37.199,,2.546,12141122233,9770,846583733333,3.199,25550,57250,771510491064,1728663154008,26.123,0.544,98.0,24.757,,49.134,14.734,77,50.962,9.137,118,7.7,125.001,-988751,,334914667,14.047,-2.554,30196281,,,0.1,3.3,101.869,28.533,105.432,0.978,105.883,2149690,8.292,4.528,18,,-2.289
Saudi Arabia,SAU,2019,12.803,2.56,974.167,94.8,27.6,,,,34.089,,2.504,3079217251,9770,838564800000,1.098,27720,56730,833397174884,1705657527381,28.296,0.648,95.0,26.109,,46.048,-2.023,77,49.461,8.134,115,7.3,127.657,191582,,334029333,13.985,-0.44,30063799,,,0.1,4.0,98.508,29.483,103.158,0.96,104.45,2149690,6.998,4.528,10,,-0.176
Saudi Arabia,SAU,2020,11.266,2.96,974.167,,,,,,24.902,,2.465,1621264195,9770,734271200000,-3.582,25640,46130,809095167709,1455468175434,27.691,0.608,96.0,24.812,,39.471,-9.185,76,42.471,9.178,120,7.0,113.197,-74725,,302253072,14.678,4.833,31552510,,,0.1,3.5,96.209,28.394,102.712,0.974,103.277,2149690,8.237,4.528,,,5.097
Saudi Arabia,SAU,2021,10.467,2.675,974.167,,,,,,32.775,,2.427,23111903141,9770,874156000000,5.075,28190,56590,867841479416,1742116683970,25.448,0.306,98.0,24.368,,44.174,13.301,77,49.079,7.581,126,6.7,139.896,-106287,,294914320,14.32,-2.465,30784383,,,0.1,,96.464,29.453,101.514,0.989,103.587,2149690,9.673,4.528,,,-2.203
Saudi Arabia,SAU,2022,10.29,2.405,,,,,,,40.221,,2.393,28055082624,9770,1108571466667,7.486,31120,61970,1001225265367,1994004880852,26.427,,98.0,23.292,,53.137,17.984,78,54.219,7.423,132,6.4,,977072,,287019260,14.967,4.419,32175224,,,0.1,,120.119,30.506,102.706,,119.968,2149690,7.772,4.528,,,4.68
Spain,ESP,2014,8.073,2.527,29.549,,,,5355.987,2464.641,33.219,,1.32,31972292815,185500,1380244561362,1.52,29150,33420,1355042578220,1553280018842,18.148,6.912,96.0,30.18,5.7,19.87,-0.221,83,49.512,1.254,109,3.4,96.548,-97870,,3130366133,92.923,-0.299,46480882,0.8,22.1,0.3,,96.519,28.312,102.538,1.007,125.336,505940,14.049,,14,,-0.005
Spain,ESP,2015,7.666,2.723,28.336,99.9,,,,2571.341,33.299,,1.33,23777330434,185512,1206164777553,4.061,28460,34910,1321830489552,1621468544092,19.373,6.888,96.0,30.283,5.8,19.923,0.552,83,49.257,1.27,110,3.3,100.0,-1979,,2673407399,92.953,-0.078,46444832,0.9,22.3,0.3,,96.101,27.54,102.144,1.005,124.855,505924,14.082,,14,,0.219
Spain,ESP,2016,7.287,2.815,28.076,,,,,,33.577,,1.34,44962670966,185552,1243015667917,2.915,27560,37400,1281056644204,1738407267476,19.061,7.802,97.0,29.612,5.8,19.794,0.372,83,48.342,1.137,111,3.3,101.147,106474,,2632183875,93.049,0.084,46484062,1.1,21.6,0.3,,94.701,27.129,102.13,1.01,123.27,505935,13.684,15.196,13,,0.383
Spain,ESP,2017,6.932,2.803,27.063,,,,,,34.9,,1.31,33577736759,185593,1321754088819,2.896,27120,39570,1263705022538,1843464021723,19.566,6.999,98.0,31.267,6.2,19.905,1.258,83,50.805,1.23,113,3.2,99.642,201135,,3004745214,93.271,0.235,46593236,0.7,21.5,0.3,,96.676,27.042,102.505,1.016,120.556,505935,13.627,14.974,13,,0.535
Spain,ESP,2018,6.243,2.701,26.447,99.9,62.1,,,,34.875,,1.26,63958429157,185636,1431642809327,2.395,29340,40780,1373159470832,1908195340916,20.706,6.767,98.0,32.135,6.2,19.739,1.187,83,51.501,1.254,116,3.2,97.665,337467,,3331709084,93.67,0.438,46797754,0.8,20.7,0.3,,95.672,27.754,102.639,1.017,119.43,505957,14.127,14.974,12,,0.738
Spain,ESP,2019,5.867,2.52,26.272,99.9,,,,,34.676,,1.23,30322872791,185679,1403496387686,1.961,30370,43820,1431642244439,2065307027780,20.909,6.846,98.0,31.691,6.2,19.978,1.429,84,50.358,1.233,117,3.2,98.187,464783,,3206846642,94.351,0.718,47134837,0.8,21.0,0.3,,96.637,27.851,103.185,1.022,118.525,505953,13.659,17.854,12,,1.021
Spain,ESP,2020,5.23,2.785,26.097,99.9,,,,,30.481,,1.19,37683095972,185722,1289783836971,-10.94,27180,39070,1287379834944,1850440806565,20.627,7.768,96.0,28.965,6.0,20.119,1.134,82,49.195,1.368,117,3.1,101.548,236854,,3063400973,94.815,0.489,47365655,0.9,21.7,0.3,,96.005,29.24,103.41,1.021,117.368,505970,13.447,17.907,,,0.792
Spain,ESP,2021,4.702,2.768,26.097,,,,,,33.757,,1.19,64626902394,185765,1461244901853,6.683,30110,43960,1427579979883,2084375983566,21.874,9.393,95.0,32.768,6.4,20.317,2.556,83,54.725,1.369,120,3.1,98.391,144385,,3949650833,94.882,0.106,47415794,0.6,20.4,0.2,,99.165,30.142,102.899,,119.115,505965,14.878,17.908,,,0.41
Spain,ESP,2022,4.776,2.31,,,,,,,39.755,,1.16,65488854829,185808,1446498147749,6.179,32000,48940,1528157907016,2337160726318,22.655,12.584,96.0,38.872,,20.931,4.712,83,62.891,1.466,124,3.0,,299779,,4285808734,95.573,0.721,47759127,,20.2,0.2,,98.492,29.807,102.446,,119.016,505978,15.502,17.924,,,1.027
Switzerland,CHE,2014,2.963,0.709,4.218,,,,7520.166,3059.937,65.337,,1.54,21003091522,12485,726537808338,2.35,88250,63350,722614146291,518723984425,25.553,26.659,94.0,54.876,7.8,24.324,-0.653,83,80.787,0.635,136,4.3,,78122,,2406168041,207.251,1.22,8188649,0.0,15.6,0.2,,96.478,17.132,102.471,,,41291,9.087,,10,,1.25
Switzerland,CHE,2015,2.76,0.626,4.223,,,,,2960.073,63.829,,1.54,118752400109,12519,694118186380,1.645,86810,65920,719021489940,546014360068,25.075,27.052,94.0,53.31,7.8,24.201,-1.265,83,78.192,0.651,136,4.3,,71876,,2516975789,209.627,1.138,8282396,0.0,14.7,0.2,,96.631,17.746,102.156,0.979,103.913,41291,9.556,,10,,1.168
Switzerland,CHE,2016,2.829,0.658,4.218,,,,,,66.818,,1.54,166801396969,12554,687895460903,2.069,83360,66960,697964613257,560671216442,25.562,27.335,94.0,56.748,7.7,24.09,-0.583,84,83.302,0.665,134,4.2,,71009,,2524093963,211.932,1.092,8373338,0.0,15.5,0.2,,94.902,17.45,101.903,0.976,104.095,41291,9.405,9.651,10,,1.121
Switzerland,CHE,2017,2.494,0.631,4.218,,71.6,,,,66.348,,1.52,143235966549,12588,695200833086,1.363,80770,67250,682669841527,568390809833,26.044,14.024,95.0,57.273,7.7,24.218,-0.368,84,81.91,0.666,131,4.1,,45658,,2591809298,213.918,0.933,8451840,0.0,14.6,0.2,,95.359,18.155,101.833,0.973,103.9,41291,10.062,9.665,10,,0.963
Switzerland,CHE,2018,2.334,0.644,4.218,,,,,,67.478,,1.52,-160387834479,12622,725568717468,2.86,82470,68130,702168450838,580121823006,25.734,13.318,95.0,56.95,7.5,24.424,0.764,84,81.354,0.653,127,4.1,,41253,,2550734395,215.5,0.737,8514329,0.0,16.0,0.2,,94.424,17.675,101.837,0.97,104.188,41291,9.691,9.665,10,,0.785
Switzerland,CHE,2019,1.992,0.648,4.218,,,,,,66.965,,1.48,8774913614,12657,721369112727,1.142,83160,71170,713128242429,610317495275,26.438,12.909,95.0,57.162,7.4,24.721,-0.104,84,82.033,0.696,127,4.0,,44517,,2549309963,217.043,0.713,8575280,0.0,15.5,0.2,,93.593,17.906,101.593,0.969,104.071,41291,9.907,9.993,10,,0.784
Switzerland,CHE,2020,1.671,0.705,4.218,,,,,,64.096,,1.46,-241498368915,12691,741999406006,-2.142,81740,70510,706059291031,609053946093,29.579,12.845,97.0,57.69,7.5,24.828,-0.699,83,82.385,0.864,127,4.0,,55523,,2824692041,218.634,0.731,8638167,0.0,14.7,0.2,,94.276,17.893,101.732,0.969,104.212,41291,9.345,11.959,,,0.82
Switzerland,CHE,2021,1.471,0.626,4.218,,,,,,71.288,,1.52,-117205528463,12726,813408787222,5.392,90810,80310,790418115545,699042281987,26.105,14.235,95.0,58.969,,25.579,1.246,84,86.582,0.776,123,4.0,,50665,,3142088777,220.315,0.766,8704546,,15.8,0.2,,95.481,18.476,101.478,,103.605,41291,10.094,12.133,,,0.875
Switzerland,CHE,2022,1.386,0.615,,,,,,,76.936,,1.39,-10988929764,12760,818426550206,2.568,95480,88900,837996563137,780283122333,24.537,29.988,96.0,63.234,,24.875,2.497,83,92.593,0.765,120,4.0,,96424,,3247920163,222.151,0.83,8777088,,,,,95.064,17.394,101.363,,103.392,41291,9.101,12.14,,,0.96
Turkiye,TUR,2014,27.56,6.557,22.894,97.4,73.5,74.94,2848.972,1574.736,25.206,413916172392,2.2,13337000000,215209,938934609297,4.94,12630,23890,975159757896,1844207238272,28.967,3.38,94.0,28.561,,28.117,7.39,77,44.481,1.872,92,14.0,93.909,1033384,3446770020,1739000000,100.284,1.349,77181884,,,,,99.079,30.31,111.936,0.981,105.976,785350,17.946,,11,23.718,2.099
Turkiye,TUR,2015,25.639,6.868,23.661,99.0,,77.137,,1657.926,24.531,399739340547,2.194,19263000000,216303,864313810469,6.084,12080,25570,944501103828,1999739155423,28.199,3.436,97.0,26.557,,27.834,7.845,77,42.184,1.813,92,13.3,100.0,1063140,2141260010,1401000000,101.631,1.334,78218479,,,,,98.83,30.384,107.294,0.98,107.243,785350,18.181,,11,25.212,2.062
Turkiye,TUR,2016,24.226,6.142,26.26,,,80.051,,,23.084,399311907395,2.177,13835000000,216303,869682881593,3.323,11340,26410,898805271855,2094055569388,28.02,3.038,98.0,25.245,,28.083,8.13,77,40.41,2.05,93,12.7,104.05,352063,3609090088,1201000000,103.008,1.345,79277962,,,,,134.546,30.791,105.283,0.982,108.548,785350,18.266,0.191,10,36.16,2.053
Turkiye,TUR,2017,22.332,6.039,25.898,98.0,,80.292,,,26.039,447424576718,2.14,11190000000,217525,858988492854,7.502,11090,27840,890532467321,2235991199656,30.694,3.233,96.0,29.723,5.4,29.132,10.982,77,46.94,2.05,95,12.0,98.608,659846,3159280029,1056000000,104.352,1.297,80312698,0.3,,,,92.596,29.481,97.492,0.964,112.977,785350,17.718,0.191,10,37.188,1.982
Turkiye,TUR,2018,19.835,5.792,26.913,99.2,69.8,82.214,,,31.233,426808135352,2.054,12450000000,219084,778972108041,3.013,10650,27900,867126630316,2271020854889,29.458,2.674,96.0,31.382,5.4,29.439,16.512,78,52.418,2.524,97,11.5,94.972,187570,1195930054,1147000000,105.774,1.354,81407204,0.4,,,1.5,91.036,30.292,100.931,0.98,112.115,785350,17.27,0.191,7,33.322,2.02
Turkiye,TUR,2019,17.535,6.402,27.449,97.0,,82.811,,,33.074,414870032427,1.967,9507000000,220644,761005915751,0.819,9800,28020,809412442966,2313728846976,24.878,3.028,97.0,30.119,5.2,27.332,13.868,78,51.403,2.694,97,11.0,94.734,-15690,700299988,856000000,107.298,1.43,82579440,0.5,,,,96.626,29.173,103.963,0.97,111.91,785350,16.524,0.191,7,33.049,2.076
Turkiye,TUR,2020,15.334,6.67,27.972,,,98.346,,,29.121,429769826587,1.917,7675000000,222204,720338490327,1.86,9160,28340,763830567894,2362957680943,31.341,3.153,95.0,32.223,5.3,28.026,14.789,76,54.024,2.432,98,10.5,99.613,37934,542299988,816000000,108.344,0.97,83384680,0.5,,,,100.577,29.635,103.296,0.977,112.527,785350,17.664,0.191,,40.364,1.596
Turkiye,TUR,2021,13.63,5.534,25.727,,,94.516,,,35.744,436370123073,1.889,12895000000,223764,819865223976,11.439,10010,31230,841959114570,2627527350368,31.404,3.284,96.0,35.339,5.2,31.133,28.973,76,60.576,1.899,102,10.1,88.636,20283,1059540039,726000000,109.335,0.91,84147318,0.4,14.4,,,103.436,29.872,102.596,,114.147,785350,17.864,5.672,,24.788,1.518
Turkiye,TUR,2022,12.203,6.477,,,,73.872,,,38.584,457917129054,1.882,13666000000,225324,907118434654,5.533,10640,37980,903983154108,3227873329154,35.04,3.664,95.0,42.586,,31.294,96.036,78,68.115,1.233,106,9.6,,-301544,800270020,696000000,110.417,0.985,84979913,,,,,101.501,25.759,102.488,,116.04,785350,16.092,5.672,,19.543,1.574
United Kingdom,GBR,2014,15.803,0.745,5.024,,,,5130.39,2777.311,28.576,,1.81,58890445253,31358,3064708247921,3.195,44580,40540,2879913250642,2619024574626,17.718,22.204,93.0,30.519,7.7,18.229,1.319,81,39.316,2.184,121,4.5,99.83,306091,,4937268135,267.029,0.736,64602298,0.2,,,,,32.883,99.975,1.022,128.755,243610,24.881,,6,,1.056
United Kingdom,GBR,2015,14.712,0.631,5.628,,,,,2764.517,27.846,,1.8,45333483122,31550,2927911140917,2.223,44380,41570,2890109141076,2706922667067,17.869,22.334,93.0,29.358,7.6,18.094,0.658,81,37.428,2.044,122,4.5,100.0,347839,,5003393486,269.153,0.792,65116219,0.2,,,,98.859,33.102,100.158,1.016,126.095,243610,25.067,,4,,1.109
United Kingdom,GBR,2016,13.952,0.579,5.806,,,,,,28.902,,1.79,324813224213,31590,2689106566900,1.922,42960,43050,2818569770571,2824431493909,17.935,23.559,92.0,30.798,7.6,17.594,1.964,81,38.957,1.977,120,4.4,89.761,324649,,4582283767,271.201,0.758,65611593,0.2,17.0,,,98.502,33.604,100.32,,,243610,25.455,22.262,4,,1.072
United Kingdom,GBR,2017,12.978,0.594,5.806,,,,,,30.89,,1.74,125358809934,31640,2680148052335,2.657,41660,45550,2752314531352,3009161540810,18.483,22.619,92.0,32.231,7.6,17.805,1.855,81,40.371,1.948,120,4.4,91.756,272311,,4308885980,273.049,0.679,66058859,0.2,18.6,,,98.431,33.996,100.695,1.015,125.731,243610,25.597,28.825,4,,0.989
United Kingdom,GBR,2018,12.068,0.571,5.806,,,,,,31.58,,1.68,-25055440307,31730,2871340347582,1.405,42020,46450,2792635759521,3087113247658,18.181,22.333,92.0,32.963,7.4,17.9,1.921,81,40.361,1.94,119,4.4,96.517,259744,,4389713567,274.709,0.606,66460344,0.5,,,,98.475,33.961,101.22,1.013,120.19,243610,25.547,28.825,4,,0.912
United Kingdom,GBR,2019,11.064,0.605,5.806,,,,,,31.635,,1.63,19790761929,31820,2851407164908,1.624,43240,49860,2889761722342,3332512524919,18.379,23.094,91.0,33.03,7.5,17.759,2.133,81,40.55,1.981,121,4.3,86.961,232727,,4214814558,276.263,0.564,66836327,0.5,,,,100.145,33.533,101.788,1.011,117.233,243610,25.111,29.048,4,,0.868
United Kingdom,GBR,2020,9.701,0.671,5.806,,,,,,29.67,,1.56,157185559300,31900,2696778386608,-10.297,38770,46980,2600923387090,3151686596903,17.581,23.007,91.0,29.111,7.7,17.411,4.97,80,38.482,2.157,118,4.3,83.229,144221,,3248094194,277.275,0.366,67081234,0.5,,,,99.526,33.737,102.096,1.012,114.652,243610,24.785,40.287,,,0.665
United Kingdom,GBR,2021,8.578,0.708,5.806,,,,,,29.18,,1.56,5055966701,31987,3143323050707,8.576,45510,53130,3050044795884,3561212970774,18.027,23.865,91.0,29.404,7.7,16.734,0.067,81,37.067,2.162,119,4.2,95.186,462967,,3461501741,277.048,-0.082,67026292,0.2,,,,99.447,35.104,102.038,,113.684,243610,26.415,40.287,,,0.214
United Kingdom,GBR,2022,8.379,0.66,,,,,,,33.567,,1.57,44897919401,32069,3114042471144,4.839,48520,57040,3289389855216,3866883376122,17.938,27.16,90.0,35.313,,17.242,5.444,82,43.562,2.227,121,4.1,,487029,,3965082581,280.209,1.134,67791000,,,,,100.087,36.681,102.406,,113.228,243610,27.173,39.933,,,1.426
United States,USA,2014,24.192,1.168,15.588,98.5,72.7,231.851,12993.966,6960.684,13.508,,1.862,251856000000,3098200,17608138000000,2.524,55670,56490,17725038819059,17984237000000,20.901,20.484,92.0,16.398,5.3,19.268,1.742,79,22.905,3.691,100,6.9,95.87,1672598,,6503000000,34.806,0.733,318386329,1.2,,0.4,0.7,,18.859,99.673,1.004,96.925,9831510,10.9,,6,,0.959
United States,USA,2015,22.031,1.029,15.77,99.1,,230.215,,6803.997,12.411,,1.844,511434000000,3100950,18295019000000,2.946,56510,58020,18124085517102,18608138000000,21.415,21.39,92.0,15.277,5.4,18.497,0.928,79,20.868,3.481,102,6.8,100.0,1722127,,6578000000,35.063,0.736,320738994,1.2,,0.4,,,18.995,100.3,1.005,97.653,9831510,11.183,,6,,0.967
United States,USA,2016,20.08,0.937,15.77,99.1,75.9,235.358,,,11.888,,1.82,474388000000,3100950,18804913000000,1.819,57060,58760,18433936457653,18983369000000,20.888,22.419,92.0,14.564,5.3,17.937,0.95,79,19.682,3.423,103,6.7,100.083,1889129,,6330000000,35.318,0.725,323071755,1.0,,0.4,1.4,,18.541,101.363,0.996,98.77,9831510,10.855,26.326,6,,0.958
United States,USA,2017,18.491,0.94,15.77,99.1,,244.295,,,12.177,,1.766,380823000000,3097950,19612102000000,2.458,59130,61010,19224810445224,19837150000000,21.156,19.266,91.0,14.948,5.3,18.309,1.791,79,20.165,3.321,103,6.6,99.594,1864738,,6347000000,35.542,0.633,325122128,1.2,,0.4,,98.832,19.21,101.821,0.994,98.952,9831510,11.504,26.328,6,,0.872
United States,USA,2018,17.164,0.898,15.77,99.1,73.9,231.897,,,12.287,,1.73,214715000000,3097950,20656516000000,2.967,63360,63900,20709154892243,20883383000000,21.569,18.484,92.0,15.158,5.3,18.52,2.291,79,20.711,3.324,105,6.5,99.843,1764961,,6941000000,35.73,0.526,326838199,1.0,,0.4,0.4,100.093,17.479,101.257,0.995,99.276,9831510,9.93,26.328,6,,0.767
United States,USA,2019,16.202,0.833,15.77,99.0,,245.999,,,11.789,,1.706,315984000000,3097950,21539982000000,2.584,66220,66290,21742145001994,21764838000000,21.67,18.685,90.0,14.469,5.2,18.145,1.65,79,19.548,3.435,106,6.5,100.319,1774500,,7049000000,35.893,0.455,328329953,1.0,,0.4,,100.489,17.291,100.981,0.995,100.063,9831510,9.886,26.328,4,,0.702
United States,USA,2020,14.719,0.936,15.77,99.1,,281.06,,,10.074,,1.642,137066000000,3097950,21354105000000,-2.163,64620,64720,21424785397695,21458070000000,21.419,19.494,91.0,13.006,5.7,17.268,1.329,77,17.944,3.696,105,6.4,100.0,329769,,6827000000,36.243,0.969,331526933,0.2,,0.4,,100.924,17.746,100.306,0.987,100.51,9831510,10.196,23.946,,,1.217
United States,USA,2021,13.724,0.945,15.77,,,291.727,,,10.791,,1.664,475805000000,3097950,23681171000000,6.055,71500,71770,23741354208063,23832230000000,21.333,19.901,92.0,14.423,6.1,17.608,4.566,76,19.803,3.458,107,6.3,104.655,674787,,7093000000,36.3,0.157,332048977,0.2,,0.4,,101.091,18.66,98.305,,101.192,9831510,11.259,15.883,,,0.41
United States,USA,2022,13.628,,,,,247.268,,,11.602,,1.665,408982000000,3097950,26006893000000,2.512,77460,78710,25815185488310,26231750000000,21.95,20.579,92.0,15.289,5.2,,7.129,77,20.906,3.455,110,6.3,,1319009,,7407000000,36.433,0.367,333271411,1.2,,,,95.744,19.368,96.972,,97.473,9831510,12.055,15.883,,,0.622
